
[Episode   0, Steps   1066] Episode Reward: -21.0, Mean Episode Reward: -21.000, size of replay buffer:   1066 Loss: 0.000, Epsilon: 0.70, Num Training Steps:    0, Per-Episode Time: 00:00:03 Total Elapsed Time 00:00:03
[Episode 118, Steps 164856] Episode Reward: -19.0, Mean Episode Reward: -19.110, size of replay buffer: 100000 Loss: 0.012, Epsilon: 0.58, Num Training Steps: 159856, Per-Episode Time: 00:04:34 Total Elapsed Time 05:05:28
[Episode 119, Steps 167155] Episode Reward: -15.0, Mean Episode Reward: -19.070, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.58, Num Training Steps: 162155, Per-Episode Time: 00:04:37 Total Elapsed Time 05:10:05
[Episode 120, Steps 168433] Episode Reward: -20.0, Mean Episode Reward: -19.060, size of replay buffer: 100000 Loss: 0.006, Epsilon: 0.58, Num Training Steps: 163433, Per-Episode Time: 00:02:35 Total Elapsed Time 05:12:40
[Episode 121, Steps 170720] Episode Reward: -17.0, Mean Episode Reward: -19.020, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.58, Num Training Steps: 165720, Per-Episode Time: 00:04:35 Total Elapsed Time 05:17:15
[Episode 122, Steps 172834] Episode Reward: -17.0, Mean Episode Reward: -18.990, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.58, Num Training Steps: 167834, Per-Episode Time: 00:04:15 Total Elapsed Time 05:21:30
[Episode 123, Steps 174862] Episode Reward: -16.0, Mean Episode Reward: -18.940, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.58, Num Training Steps: 169862, Per-Episode Time: 00:04:05 Total Elapsed Time 05:25:36
[Episode 124, Steps 176175] Episode Reward: -19.0, Mean Episode Reward: -18.920, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.58, Num Training Steps: 171175, Per-Episode Time: 00:02:38 Total Elapsed Time 05:28:14
[Episode 125, Steps 178067] Episode Reward: -18.0, Mean Episode Reward: -18.890, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.57, Num Training Steps: 173067, Per-Episode Time: 00:03:54 Total Elapsed Time 05:32:09
[Episode 126, Steps 179839] Episode Reward: -18.0, Mean Episode Reward: -18.860, size of replay buffer: 100000 Loss: 0.007, Epsilon: 0.57, Num Training Steps: 174839, Per-Episode Time: 00:03:32 Total Elapsed Time 05:35:42
[Episode 127, Steps 181514] Episode Reward: -19.0, Mean Episode Reward: -18.840, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.57, Num Training Steps: 176514, Per-Episode Time: 00:03:22 Total Elapsed Time 05:39:04
[Episode 128, Steps 182857] Episode Reward: -20.0, Mean Episode Reward: -18.840, size of replay buffer: 100000 Loss: 0.009, Epsilon: 0.57, Num Training Steps: 177857, Per-Episode Time: 00:02:42 Total Elapsed Time 05:41:47
[Episode 129, Steps 184604] Episode Reward: -19.0, Mean Episode Reward: -18.820, size of replay buffer: 100000 Loss: 0.016, Epsilon: 0.57, Num Training Steps: 179604, Per-Episode Time: 00:03:29 Total Elapsed Time 05:45:16
[Episode 130, Steps 187181] Episode Reward: -19.0, Mean Episode Reward: -18.800, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.57, Num Training Steps: 182181, Per-Episode Time: 00:05:08 Total Elapsed Time 05:50:25
[Episode 131, Steps 189105] Episode Reward: -19.0, Mean Episode Reward: -18.790, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.57, Num Training Steps: 184105, Per-Episode Time: 00:03:51 Total Elapsed Time 05:54:16
[Episode 132, Steps 190841] Episode Reward: -19.0, Mean Episode Reward: -18.780, size of replay buffer: 100000 Loss: 0.010, Epsilon: 0.57, Num Training Steps: 185841, Per-Episode Time: 00:03:27 Total Elapsed Time 05:57:43
[Episode 133, Steps 193214] Episode Reward: -15.0, Mean Episode Reward: -18.730, size of replay buffer: 100000 Loss: 0.006, Epsilon: 0.57, Num Training Steps: 188214, Per-Episode Time: 00:04:50 Total Elapsed Time 06:02:34
[Episode 134, Steps 195187] Episode Reward: -19.0, Mean Episode Reward: -18.720, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.57, Num Training Steps: 190187, Per-Episode Time: 00:03:56 Total Elapsed Time 06:06:30
[Episode 135, Steps 197033] Episode Reward: -16.0, Mean Episode Reward: -18.680, size of replay buffer: 100000 Loss: 0.015, Epsilon: 0.56, Num Training Steps: 192033, Per-Episode Time: 00:03:39 Total Elapsed Time 06:10:10
[Episode 136, Steps 198657] Episode Reward: -17.0, Mean Episode Reward: -18.650, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.56, Num Training Steps: 193657, Per-Episode Time: 00:03:15 Total Elapsed Time 06:13:26
[Episode 137, Steps 200022] Episode Reward: -21.0, Mean Episode Reward: -18.660, size of replay buffer: 100000 Loss: 0.075, Epsilon: 0.56, Num Training Steps: 195022, Per-Episode Time: 00:02:42 Total Elapsed Time 06:16:08
[Episode 138, Steps 201522] Episode Reward: -19.0, Mean Episode Reward: -18.650, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.56, Num Training Steps: 196522, Per-Episode Time: 00:02:58 Total Elapsed Time 06:19:07
[Episode 139, Steps 203206] Episode Reward: -17.0, Mean Episode Reward: -18.630, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.56, Num Training Steps: 198206, Per-Episode Time: 00:03:22 Total Elapsed Time 06:22:29
[Episode 140, Steps 205220] Episode Reward: -18.0, Mean Episode Reward: -18.620, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.56, Num Training Steps: 200220, Per-Episode Time: 00:04:01 Total Elapsed Time 06:26:31
[Episode 141, Steps 207245] Episode Reward: -16.0, Mean Episode Reward: -18.580, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.56, Num Training Steps: 202245, Per-Episode Time: 00:04:03 Total Elapsed Time 06:30:34
[Episode 142, Steps 208806] Episode Reward: -19.0, Mean Episode Reward: -18.560, size of replay buffer: 100000 Loss: 0.011, Epsilon: 0.56, Num Training Steps: 203806, Per-Episode Time: 00:03:07 Total Elapsed Time 06:33:42
[Episode 143, Steps 210877] Episode Reward: -18.0, Mean Episode Reward: -18.530, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.56, Num Training Steps: 205877, Per-Episode Time: 00:04:11 Total Elapsed Time 06:37:54
[Episode 144, Steps 212866] Episode Reward: -17.0, Mean Episode Reward: -18.500, size of replay buffer: 100000 Loss: 0.008, Epsilon: 0.56, Num Training Steps: 207866, Per-Episode Time: 00:04:00 Total Elapsed Time 06:41:55
[Episode 145, Steps 214715] Episode Reward: -21.0, Mean Episode Reward: -18.500, size of replay buffer: 100000 Loss: 0.009, Epsilon: 0.55, Num Training Steps: 209715, Per-Episode Time: 00:03:39 Total Elapsed Time 06:45:34
[Episode 146, Steps 216723] Episode Reward: -18.0, Mean Episode Reward: -18.480, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.55, Num Training Steps: 211723, Per-Episode Time: 00:03:59 Total Elapsed Time 06:49:33
[Episode 147, Steps 218996] Episode Reward: -16.0, Mean Episode Reward: -18.460, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.55, Num Training Steps: 213996, Per-Episode Time: 00:04:33 Total Elapsed Time 06:54:07
[Episode 148, Steps 221410] Episode Reward: -17.0, Mean Episode Reward: -18.430, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.55, Num Training Steps: 216410, Per-Episode Time: 00:04:49 Total Elapsed Time 06:58:56
[Episode 149, Steps 223495] Episode Reward: -16.0, Mean Episode Reward: -18.390, size of replay buffer: 100000 Loss: 0.013, Epsilon: 0.55, Num Training Steps: 218495, Per-Episode Time: 00:04:11 Total Elapsed Time 07:03:07
[Episode 150, Steps 225475] Episode Reward: -19.0, Mean Episode Reward: -18.370, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.55, Num Training Steps: 220475, Per-Episode Time: 00:03:57 Total Elapsed Time 07:07:04
[Test Episode Reward] Average: -11.000, Standard Dev.: 1.414
[Episode 151, Steps 227528] Episode Reward: -17.0, Mean Episode Reward: -18.330, size of replay buffer: 100000 Loss: 0.007, Epsilon: 0.55, Num Training Steps: 222528, Per-Episode Time: 00:04:04 Total Elapsed Time 07:12:12
[Episode 152, Steps 230093] Episode Reward: -16.0, Mean Episode Reward: -18.290, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.55, Num Training Steps: 225093, Per-Episode Time: 00:05:05 Total Elapsed Time 07:17:17
[Episode 153, Steps 231918] Episode Reward: -20.0, Mean Episode Reward: -18.290, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.55, Num Training Steps: 226918, Per-Episode Time: 00:03:39 Total Elapsed Time 07:20:57
[Episode 154, Steps 234428] Episode Reward: -16.0, Mean Episode Reward: -18.250, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.55, Num Training Steps: 229428, Per-Episode Time: 00:05:05 Total Elapsed Time 07:26:02
[Episode 155, Steps 237239] Episode Reward:  -9.0, Mean Episode Reward: -18.140, size of replay buffer: 100000 Loss: 0.008, Epsilon: 0.54, Num Training Steps: 232239, Per-Episode Time: 00:05:32 Total Elapsed Time 07:31:34
[Episode 156, Steps 239259] Episode Reward: -18.0, Mean Episode Reward: -18.120, size of replay buffer: 100000 Loss: 0.019, Epsilon: 0.54, Num Training Steps: 234259, Per-Episode Time: 00:04:01 Total Elapsed Time 07:35:36
[Episode 157, Steps 241894] Episode Reward: -16.0, Mean Episode Reward: -18.070, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.54, Num Training Steps: 236894, Per-Episode Time: 00:05:13 Total Elapsed Time 07:40:50
[Episode 158, Steps 244253] Episode Reward: -15.0, Mean Episode Reward: -18.010, size of replay buffer: 100000 Loss: 0.008, Epsilon: 0.54, Num Training Steps: 239253, Per-Episode Time: 00:04:51 Total Elapsed Time 07:45:41
[Episode 159, Steps 246306] Episode Reward: -17.0, Mean Episode Reward: -17.980, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.54, Num Training Steps: 241306, Per-Episode Time: 00:04:05 Total Elapsed Time 07:49:46
[Episode 160, Steps 247673] Episode Reward: -21.0, Mean Episode Reward: -18.010, size of replay buffer: 100000 Loss: 0.006, Epsilon: 0.54, Num Training Steps: 242673, Per-Episode Time: 00:02:44 Total Elapsed Time 07:52:30
[Episode 161, Steps 249415] Episode Reward: -17.0, Mean Episode Reward: -17.990, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.54, Num Training Steps: 244415, Per-Episode Time: 00:03:27 Total Elapsed Time 07:55:58
[Episode 162, Steps 251304] Episode Reward: -20.0, Mean Episode Reward: -18.010, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.54, Num Training Steps: 246304, Per-Episode Time: 00:03:49 Total Elapsed Time 07:59:48
[Episode 163, Steps 253644] Episode Reward: -14.0, Mean Episode Reward: -17.970, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.54, Num Training Steps: 248644, Per-Episode Time: 00:04:36 Total Elapsed Time 08:04:25
[Episode 164, Steps 256178] Episode Reward: -17.0, Mean Episode Reward: -17.950, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.54, Num Training Steps: 251178, Per-Episode Time: 00:05:00 Total Elapsed Time 08:09:25
[Episode 165, Steps 258137] Episode Reward: -18.0, Mean Episode Reward: -17.920, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.53, Num Training Steps: 253137, Per-Episode Time: 00:03:52 Total Elapsed Time 08:13:18
[Episode 166, Steps 260718] Episode Reward: -14.0, Mean Episode Reward: -17.890, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.53, Num Training Steps: 255718, Per-Episode Time: 00:05:04 Total Elapsed Time 08:18:22
[Episode 167, Steps 263260] Episode Reward: -15.0, Mean Episode Reward: -17.830, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.53, Num Training Steps: 258260, Per-Episode Time: 00:04:59 Total Elapsed Time 08:23:21
[Episode 168, Steps 265559] Episode Reward: -15.0, Mean Episode Reward: -17.820, size of replay buffer: 100000 Loss: 0.009, Epsilon: 0.53, Num Training Steps: 260559, Per-Episode Time: 00:04:30 Total Elapsed Time 08:27:51
[Episode 169, Steps 268819] Episode Reward: -10.0, Mean Episode Reward: -17.740, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.53, Num Training Steps: 263819, Per-Episode Time: 00:06:21 Total Elapsed Time 08:34:13
[Episode 170, Steps 271057] Episode Reward: -15.0, Mean Episode Reward: -17.690, size of replay buffer: 100000 Loss: 0.010, Epsilon: 0.53, Num Training Steps: 266057, Per-Episode Time: 00:04:22 Total Elapsed Time 08:38:36
[Episode 171, Steps 273457] Episode Reward: -14.0, Mean Episode Reward: -17.650, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.53, Num Training Steps: 268457, Per-Episode Time: 00:04:42 Total Elapsed Time 08:43:18
[Episode 172, Steps 274987] Episode Reward: -18.0, Mean Episode Reward: -17.640, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.53, Num Training Steps: 269987, Per-Episode Time: 00:02:59 Total Elapsed Time 08:46:18
[Episode 173, Steps 277221] Episode Reward: -17.0, Mean Episode Reward: -17.620, size of replay buffer: 100000 Loss: 0.007, Epsilon: 0.53, Num Training Steps: 272221, Per-Episode Time: 00:04:22 Total Elapsed Time 08:50:41
[Episode 174, Steps 279696] Episode Reward: -17.0, Mean Episode Reward: -17.610, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.53, Num Training Steps: 274696, Per-Episode Time: 00:04:49 Total Elapsed Time 08:55:30
[Episode 175, Steps 282025] Episode Reward: -16.0, Mean Episode Reward: -17.590, size of replay buffer: 100000 Loss: 0.009, Epsilon: 0.52, Num Training Steps: 277025, Per-Episode Time: 00:04:47 Total Elapsed Time 09:00:18
[Episode 176, Steps 284518] Episode Reward: -15.0, Mean Episode Reward: -17.570, size of replay buffer: 100000 Loss: 0.012, Epsilon: 0.52, Num Training Steps: 279518, Per-Episode Time: 00:04:52 Total Elapsed Time 09:05:10
[Episode 177, Steps 286239] Episode Reward: -18.0, Mean Episode Reward: -17.570, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.52, Num Training Steps: 281239, Per-Episode Time: 00:03:24 Total Elapsed Time 09:08:35
[Episode 178, Steps 288006] Episode Reward: -20.0, Mean Episode Reward: -17.600, size of replay buffer: 100000 Loss: 0.010, Epsilon: 0.52, Num Training Steps: 283006, Per-Episode Time: 00:03:32 Total Elapsed Time 09:12:07
[Episode 179, Steps 290371] Episode Reward: -15.0, Mean Episode Reward: -17.550, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.52, Num Training Steps: 285371, Per-Episode Time: 00:04:40 Total Elapsed Time 09:16:47
[Episode 180, Steps 292602] Episode Reward: -17.0, Mean Episode Reward: -17.550, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.52, Num Training Steps: 287602, Per-Episode Time: 00:04:23 Total Elapsed Time 09:21:11
[Episode 181, Steps 294680] Episode Reward: -18.0, Mean Episode Reward: -17.520, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.52, Num Training Steps: 289680, Per-Episode Time: 00:04:06 Total Elapsed Time 09:25:17
[Episode 182, Steps 297047] Episode Reward: -15.0, Mean Episode Reward: -17.490, size of replay buffer: 100000 Loss: 0.014, Epsilon: 0.52, Num Training Steps: 292047, Per-Episode Time: 00:04:40 Total Elapsed Time 09:29:57
[Episode 183, Steps 298739] Episode Reward: -17.0, Mean Episode Reward: -17.470, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.52, Num Training Steps: 293739, Per-Episode Time: 00:03:20 Total Elapsed Time 09:33:18
[Episode 184, Steps 300905] Episode Reward: -17.0, Mean Episode Reward: -17.440, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.52, Num Training Steps: 295905, Per-Episode Time: 00:04:20 Total Elapsed Time 09:37:38
[Episode 185, Steps 303944] Episode Reward: -13.0, Mean Episode Reward: -17.380, size of replay buffer: 100000 Loss: 0.012, Epsilon: 0.51, Num Training Steps: 298944, Per-Episode Time: 00:06:00 Total Elapsed Time 09:43:39
[Episode 186, Steps 306127] Episode Reward: -15.0, Mean Episode Reward: -17.360, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.51, Num Training Steps: 301127, Per-Episode Time: 00:04:20 Total Elapsed Time 09:47:59
[Episode 187, Steps 308257] Episode Reward: -13.0, Mean Episode Reward: -17.310, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.51, Num Training Steps: 303257, Per-Episode Time: 00:04:13 Total Elapsed Time 09:52:13
[Episode 188, Steps 310600] Episode Reward: -12.0, Mean Episode Reward: -17.260, size of replay buffer: 100000 Loss: 0.007, Epsilon: 0.51, Num Training Steps: 305600, Per-Episode Time: 00:04:41 Total Elapsed Time 09:56:54
[Episode 189, Steps 312712] Episode Reward: -17.0, Mean Episode Reward: -17.290, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.51, Num Training Steps: 307712, Per-Episode Time: 00:04:18 Total Elapsed Time 10:01:13
[Episode 190, Steps 315435] Episode Reward: -15.0, Mean Episode Reward: -17.270, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.51, Num Training Steps: 310435, Per-Episode Time: 00:05:23 Total Elapsed Time 10:06:36
[Episode 191, Steps 317257] Episode Reward: -15.0, Mean Episode Reward: -17.230, size of replay buffer: 100000 Loss: 0.008, Epsilon: 0.51, Num Training Steps: 312257, Per-Episode Time: 00:03:36 Total Elapsed Time 10:10:13
[Episode 192, Steps 319122] Episode Reward: -17.0, Mean Episode Reward: -17.230, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.51, Num Training Steps: 314122, Per-Episode Time: 00:03:42 Total Elapsed Time 10:13:55
[Episode 193, Steps 321925] Episode Reward: -13.0, Mean Episode Reward: -17.170, size of replay buffer: 100000 Loss: 0.007, Epsilon: 0.51, Num Training Steps: 316925, Per-Episode Time: 00:05:33 Total Elapsed Time 10:19:29
[Episode 194, Steps 324476] Episode Reward: -13.0, Mean Episode Reward: -17.120, size of replay buffer: 100000 Loss: 0.007, Epsilon: 0.51, Num Training Steps: 319476, Per-Episode Time: 00:05:06 Total Elapsed Time 10:24:35
[Episode 195, Steps 326557] Episode Reward: -18.0, Mean Episode Reward: -17.100, size of replay buffer: 100000 Loss: 0.006, Epsilon: 0.51, Num Training Steps: 321557, Per-Episode Time: 00:04:07 Total Elapsed Time 10:28:42
[Episode 196, Steps 329373] Episode Reward: -14.0, Mean Episode Reward: -17.050, size of replay buffer: 100000 Loss: 0.007, Epsilon: 0.50, Num Training Steps: 324373, Per-Episode Time: 00:05:39 Total Elapsed Time 10:34:21
[Episode 197, Steps 331567] Episode Reward: -20.0, Mean Episode Reward: -17.060, size of replay buffer: 100000 Loss: 0.016, Epsilon: 0.50, Num Training Steps: 326567, Per-Episode Time: 00:04:21 Total Elapsed Time 10:38:43
[Episode 198, Steps 334787] Episode Reward: -13.0, Mean Episode Reward: -17.010, size of replay buffer: 100000 Loss: 0.017, Epsilon: 0.50, Num Training Steps: 329787, Per-Episode Time: 00:06:22 Total Elapsed Time 10:45:06
[Episode 199, Steps 336783] Episode Reward: -15.0, Mean Episode Reward: -16.960, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.50, Num Training Steps: 331783, Per-Episode Time: 00:03:56 Total Elapsed Time 10:49:03
[Episode 200, Steps 338720] Episode Reward: -17.0, Mean Episode Reward: -16.920, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.50, Num Training Steps: 333720, Per-Episode Time: 00:03:49 Total Elapsed Time 10:52:52
[Test Episode Reward] Average: -7.333, Standard Dev.: 2.625
[Episode 201, Steps 340865] Episode Reward: -16.0, Mean Episode Reward: -16.890, size of replay buffer: 100000 Loss: 0.036, Epsilon: 0.50, Num Training Steps: 335865, Per-Episode Time: 00:04:15 Total Elapsed Time 10:58:17
[Episode 202, Steps 343823] Episode Reward: -15.0, Mean Episode Reward: -16.860, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.50, Num Training Steps: 338823, Per-Episode Time: 00:05:51 Total Elapsed Time 11:04:09
[Episode 203, Steps 345783] Episode Reward: -18.0, Mean Episode Reward: -16.840, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.50, Num Training Steps: 340783, Per-Episode Time: 00:03:52 Total Elapsed Time 11:08:01
[Episode 204, Steps 347973] Episode Reward: -18.0, Mean Episode Reward: -16.840, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.50, Num Training Steps: 342973, Per-Episode Time: 00:04:20 Total Elapsed Time 11:12:22
[Episode 205, Steps 350257] Episode Reward: -14.0, Mean Episode Reward: -16.830, size of replay buffer: 100000 Loss: 0.008, Epsilon: 0.49, Num Training Steps: 345257, Per-Episode Time: 00:04:31 Total Elapsed Time 11:16:53
[Episode 206, Steps 352703] Episode Reward: -16.0, Mean Episode Reward: -16.810, size of replay buffer: 100000 Loss: 0.007, Epsilon: 0.49, Num Training Steps: 347703, Per-Episode Time: 00:04:50 Total Elapsed Time 11:21:44
[Episode 207, Steps 354711] Episode Reward: -20.0, Mean Episode Reward: -16.810, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.49, Num Training Steps: 349711, Per-Episode Time: 00:03:58 Total Elapsed Time 11:25:43
[Episode 208, Steps 357529] Episode Reward: -14.0, Mean Episode Reward: -16.780, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.49, Num Training Steps: 352529, Per-Episode Time: 00:05:38 Total Elapsed Time 11:31:21
[Episode 209, Steps 360377] Episode Reward: -15.0, Mean Episode Reward: -16.750, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.49, Num Training Steps: 355377, Per-Episode Time: 00:05:37 Total Elapsed Time 11:36:58
[Episode 210, Steps 362726] Episode Reward: -17.0, Mean Episode Reward: -16.730, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.49, Num Training Steps: 357726, Per-Episode Time: 00:04:39 Total Elapsed Time 11:41:38
[Episode 211, Steps 364861] Episode Reward: -18.0, Mean Episode Reward: -16.770, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.49, Num Training Steps: 359861, Per-Episode Time: 00:04:12 Total Elapsed Time 11:45:51
[Episode 212, Steps 368103] Episode Reward: -12.0, Mean Episode Reward: -16.700, size of replay buffer: 100000 Loss: 0.018, Epsilon: 0.49, Num Training Steps: 363103, Per-Episode Time: 00:06:24 Total Elapsed Time 11:52:15
[Episode 213, Steps 369941] Episode Reward: -18.0, Mean Episode Reward: -16.680, size of replay buffer: 100000 Loss: 0.006, Epsilon: 0.49, Num Training Steps: 364941, Per-Episode Time: 00:03:37 Total Elapsed Time 11:55:53
[Episode 214, Steps 372602] Episode Reward: -15.0, Mean Episode Reward: -16.640, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.49, Num Training Steps: 367602, Per-Episode Time: 00:05:22 Total Elapsed Time 12:01:15
[Episode 215, Steps 374282] Episode Reward: -19.0, Mean Episode Reward: -16.680, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.48, Num Training Steps: 369282, Per-Episode Time: 00:03:18 Total Elapsed Time 12:04:34
[Episode 216, Steps 376520] Episode Reward: -15.0, Mean Episode Reward: -16.660, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.48, Num Training Steps: 371520, Per-Episode Time: 00:04:25 Total Elapsed Time 12:08:59
[Episode 217, Steps 379998] Episode Reward: -11.0, Mean Episode Reward: -16.580, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.48, Num Training Steps: 374998, Per-Episode Time: 00:06:51 Total Elapsed Time 12:15:51
[Episode 218, Steps 382061] Episode Reward: -20.0, Mean Episode Reward: -16.590, size of replay buffer: 100000 Loss: 0.006, Epsilon: 0.48, Num Training Steps: 377061, Per-Episode Time: 00:04:01 Total Elapsed Time 12:19:53
[Episode 219, Steps 385158] Episode Reward: -13.0, Mean Episode Reward: -16.570, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.48, Num Training Steps: 380158, Per-Episode Time: 00:06:00 Total Elapsed Time 12:25:53
[Episode 220, Steps 387828] Episode Reward: -13.0, Mean Episode Reward: -16.500, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.48, Num Training Steps: 382828, Per-Episode Time: 00:05:10 Total Elapsed Time 12:31:04
[Episode 221, Steps 390434] Episode Reward: -15.0, Mean Episode Reward: -16.480, size of replay buffer: 100000 Loss: 0.022, Epsilon: 0.48, Num Training Steps: 385434, Per-Episode Time: 00:05:01 Total Elapsed Time 12:36:05
[Episode 222, Steps 392152] Episode Reward: -16.0, Mean Episode Reward: -16.470, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.48, Num Training Steps: 387152, Per-Episode Time: 00:03:21 Total Elapsed Time 12:39:27
[Episode 223, Steps 394525] Episode Reward: -18.0, Mean Episode Reward: -16.490, size of replay buffer: 100000 Loss: 0.012, Epsilon: 0.48, Num Training Steps: 389525, Per-Episode Time: 00:04:35 Total Elapsed Time 12:44:02
[Episode 224, Steps 397534] Episode Reward: -12.0, Mean Episode Reward: -16.420, size of replay buffer: 100000 Loss: 0.009, Epsilon: 0.48, Num Training Steps: 392534, Per-Episode Time: 00:05:46 Total Elapsed Time 12:49:49
[Episode 225, Steps 399797] Episode Reward: -18.0, Mean Episode Reward: -16.420, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.47, Num Training Steps: 394797, Per-Episode Time: 00:04:23 Total Elapsed Time 12:54:13
[Episode 226, Steps 402739] Episode Reward: -16.0, Mean Episode Reward: -16.400, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.47, Num Training Steps: 397739, Per-Episode Time: 00:05:45 Total Elapsed Time 12:59:58
[Episode 227, Steps 404960] Episode Reward: -19.0, Mean Episode Reward: -16.400, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.47, Num Training Steps: 399960, Per-Episode Time: 00:04:15 Total Elapsed Time 13:04:14
[Episode 228, Steps 407416] Episode Reward: -14.0, Mean Episode Reward: -16.340, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.47, Num Training Steps: 402416, Per-Episode Time: 00:04:43 Total Elapsed Time 13:08:57
[Episode 229, Steps 410301] Episode Reward: -14.0, Mean Episode Reward: -16.290, size of replay buffer: 100000 Loss: 0.008, Epsilon: 0.47, Num Training Steps: 405301, Per-Episode Time: 00:05:30 Total Elapsed Time 13:14:28
[Episode 230, Steps 412836] Episode Reward: -17.0, Mean Episode Reward: -16.270, size of replay buffer: 100000 Loss: 0.007, Epsilon: 0.47, Num Training Steps: 407836, Per-Episode Time: 00:04:49 Total Elapsed Time 13:19:18
[Episode 231, Steps 415095] Episode Reward: -18.0, Mean Episode Reward: -16.260, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.47, Num Training Steps: 410095, Per-Episode Time: 00:04:17 Total Elapsed Time 13:23:36
[Episode 232, Steps 418340] Episode Reward: -14.0, Mean Episode Reward: -16.210, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.47, Num Training Steps: 413340, Per-Episode Time: 00:06:08 Total Elapsed Time 13:29:44
[Episode 233, Steps 420885] Episode Reward: -17.0, Mean Episode Reward: -16.230, size of replay buffer: 100000 Loss: 0.012, Epsilon: 0.47, Num Training Steps: 415885, Per-Episode Time: 00:04:51 Total Elapsed Time 13:34:36
[Episode 234, Steps 422751] Episode Reward: -19.0, Mean Episode Reward: -16.230, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.47, Num Training Steps: 417751, Per-Episode Time: 00:03:36 Total Elapsed Time 13:38:13
[Episode 235, Steps 424793] Episode Reward: -17.0, Mean Episode Reward: -16.240, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.46, Num Training Steps: 419793, Per-Episode Time: 00:03:57 Total Elapsed Time 13:42:10
